site,16:1(n-5),"18:2,9,12 cis",18:3w3,"18:2w6,9cis",18:2w6,20:4w6,"18:3w3,6,9",16:1w9cis,18:1(n-12),15,20,24,18
Julycid1,0,0,0,0,0,0,0,0,0,1,1,1,0
Julycid2,0,0,1,0,0,0,0,0,0,0,0,1,1
Julycisu1,0,0,1,1,0,0,0,0,0,0,1,1,1
Julycisu2,0,1,0,1,0,1,0,0,0,0,0,0,1
Julycisu3,0,1,0,0,0,0,0,0,0,1,1,0,1
Julycld1,0,0,0,0,1,1,0,0,0,0,0,0,0
Julycld2,0,0,0,0,0,1,0,0,0,0,0,0,1
Julycld3,0,0,1,0,0,0,0,0,0,0,0,0,1
Julyclsu1,0,0,0,1,0,0,0,0,0,0,0,0,0
Julyclsu2,0,0,1,1,0,1,0,0,0,0,0,1,1
Julyclsu3,0,0,0,1,0,0,0,1,0,0,0,0,0
Julyrld1,0,0,0,0,0,0,0,0,0,0,1,0,0
Julysid1,0,0,0,0,0,0,0,0,0,0,1,0,0
Julysid2,0,1,0,0,0,0,0,0,0,1,0,0,1
Julysisu1,0,0,0,0,0,0,0,0,0,0,1,1,0
Julysisu2,0,0,0,1,0,0,0,0,0,1,0,0,0
Julysisu3,0,0,1,1,0,0,0,0,0,0,1,0,1
Julysld1,1,1,1,0,0,0,0,0,0,0,0,0,0
Julysld2,0,1,0,0,0,0,0,0,0,1,0,0,1
Julysld3,0,0,1,0,0,0,0,0,0,0,0,0,0
Julyslsu1,0,1,0,0,0,0,0,0,0,0,0,0,0
Julyslsu2,0,0,1,1,0,0,0,0,0,1,1,0,0
